"HIT_ID","EVENT_OCCURRED_UTC","APP_NAME","APP_VERSION","CLIENT_ID","SESSION_ID","EVENTNAME"
"104","2024-04-02 04:04:48","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"68","2024-04-02 04:05:08","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"20","2024-04-02 04:05:28","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"45","2024-04-02 04:05:35","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","clipEnd"
"49","2024-04-02 04:05:35","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","cmPodBegin"
"8","2024-04-02 04:07:20","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","cmPodEnd"
"9","2024-04-02 04:07:20","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","clipStart"
"36","2024-04-02 04:07:33","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"77","2024-04-02 04:07:53","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"112","2024-04-02 04:08:13","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"113","2024-04-02 04:08:33","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"114","2024-04-02 04:08:53","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
"115","2024-04-02 04:09:13","roku","5.32.3-f150a6d10","23fc660f-8619-56a6-893b-9efc72635dfa","206ea2f0-f0a5-11ee-97cd-967181cad222","heartBeat"
